firstname,lastname,gender,birthmonth,birthday,birthyear,course,phonenumber,carrier
name683,lastname683,Female,November,21,1999,BS Management,0918 635 9209,Smart
name684,lastname684,Male,May,18,1999,BS Communications Technology Management,0918 895 2615,Smart
name685,lastname685,Male,February,19,1998,BS Legal Management,0927 802 3408,Globe
name686,lastname686,Male,May,10,1998,BS Management Engineering,0927 431 3048,Globe
name687,lastname687,Male,December,4,1998,BS Legal Management,0927 365 4153,Globe
name688,lastname688,Male,March,12,1997,BS Management Engineering,0917 941 4103,Globe
name689,lastname689,Male,September,26,1999,BS Management Engineering,0918 980 7439,Smart
name690,lastname690,Female,February,9,2000,BS Legal Management,0917 978 1093,Globe
name691,lastname691,Male,March,24,2001,BS Communications Technology Management,0918 895 4043,Smart
name692,lastname692,Female,May,9,1997,BS Communications Technology Management,0918 350 4336,Smart
name693,lastname693,Male,July,23,1998,BS Legal Management,0917 815 7555,Globe
name694,lastname694,Male,October,17,2000,BS Management,0918 514 8276,Smart
name695,lastname695,Male,July,23,1998,BS Management Engineering,0918 139 6470,Smart
name696,lastname696,Female,August,20,1997,BS Management,0927 608 4332,Globe
name697,lastname697,Male,August,8,1997,BS Legal Management,0918 557 7838,Smart
name698,lastname698,Female,February,4,1998,BS Management,0917 990 4565,Globe
name699,lastname699,Female,October,1,1998,BS Management,0917 852 2643,Globe
name700,lastname700,Male,July,10,2001,BS Management,0917 349 2949,Globe
name701,lastname701,Male,June,5,1999,BS Management,0917 788 6744,Globe
name702,lastname702,Female,May,15,1998,BS Communications Technology Management,0918 360 7098,Smart
name703,lastname703,Male,June,14,1997,BS Legal Management,0927 441 9452,Globe
name704,lastname704,Female,October,14,1997,BS Management,0917 221 2593,Globe
name705,lastname705,Female,December,13,1998,BS Communications Technology Management,0927 939 3466,Globe
name706,lastname706,Male,November,20,2001,BS Legal Management,0917 516 4721,Globe
name707,lastname707,Male,December,4,2000,BS Management Engineering,0918 546 4373,Smart
name708,lastname708,Male,May,27,1997,BS Legal Management,0927 899 3173,Globe
name709,lastname709,Male,November,11,1998,BS Management,0917 757 5871,Globe
name710,lastname710,Female,November,9,1998,BS Communications Technology Management,0918 968 3488,Smart
name711,lastname711,Female,March,4,1997,BS Management Engineering,0918 366 1192,Smart
name712,lastname712,Male,July,21,1999,BS IT Entrepreneurship,0927 949 9293,Globe
name713,lastname713,Male,February,3,2001,BS Management Engineering,0917 323 8702,Globe
name714,lastname714,Male,December,20,1998,BS Management,0918 218 9517,Smart
name715,lastname715,Female,May,4,1998,BS Management,0927 338 2750,Globe
name716,lastname716,Male,March,12,1998,BS Legal Management,0917 663 8547,Globe
name717,lastname717,Female,May,26,1999,BS Communications Technology Management,0918 656 4865,Smart
name718,lastname718,Female,February,12,1997,BS Management,0918 657 4923,Smart
name719,lastname719,Male,September,16,1998,BS Legal Management,0917 588 2431,Globe
name720,lastname720,Female,February,2,2001,BS Legal Management,0917 496 4484,Globe
name721,lastname721,Male,September,3,1999,BS IT Entrepreneurship,0927 476 2773,Globe
name722,lastname722,Female,June,19,1999,BS Communications Technology Management,0917 858 3626,Globe
name723,lastname723,Female,September,10,1999,BS Communications Technology Management,0927 787 7491,Globe
name724,lastname724,Male,September,7,2001,BS Management,0917 535 1270,Globe
name725,lastname725,Female,January,14,1998,BS Management,0918 560 4115,Smart
name726,lastname726,Female,June,23,1997,BS Management Engineering,0918 167 8692,Smart
name727,lastname727,Female,February,7,1997,BS Management,0927 929 3994,Globe
name728,lastname728,Male,June,13,1997,BS Communications Technology Management,0927 309 3402,Globe
name729,lastname729,Male,January,24,1998,BS Management,0918 354 8194,Smart
name730,lastname730,Male,November,7,1999,BS Management,0917 181 5471,Globe
name731,lastname731,Female,October,12,1998,BS Management Engineering,0917 802 1065,Globe
name732,lastname732,Female,October,9,1999,BS Communications Technology Management,0927 752 4483,Globe
name733,lastname733,Male,November,13,1999,BS Communications Technology Management,0927 751 4676,Globe
name734,lastname734,Male,November,26,1998,BS Management,0918 335 9195,Smart
name735,lastname735,Female,February,10,1998,BS Management,0917 299 3945,Globe
name736,lastname736,Male,February,13,1998,BS Legal Management,0927 211 1491,Globe
name737,lastname737,Male,November,23,2001,BS IT Entrepreneurship,0927 216 7464,Globe
name738,lastname738,Female,July,7,2000,BS Management Engineering,0918 883 4422,Smart
name739,lastname739,Female,April,12,1999,BS Legal Management,0917 585 5181,Globe
name740,lastname740,Female,March,20,1998,BS Legal Management,0917 350 4703,Globe
name741,lastname741,Female,September,5,1998,BS Communications Technology Management,0917 722 5363,Globe
name742,lastname742,Female,September,2,1997,BS Management Engineering,0918 198 7932,Smart
name743,lastname743,Female,July,14,1998,BS IT Entrepreneurship,0917 954 6667,Globe
name744,lastname744,Female,October,28,1997,BS IT Entrepreneurship,0927 509 7514,Globe
name745,lastname745,Male,October,5,1998,BS Management,0927 796 6417,Globe
name746,lastname746,Male,December,7,2001,BS IT Entrepreneurship,0927 698 3622,Globe
name747,lastname747,Male,December,18,1999,BS IT Entrepreneurship,0918 746 8659,Smart
name748,lastname748,Female,April,5,2001,BS Management,0917 561 4001,Globe
name749,lastname749,Female,February,17,1997,BS Management Engineering,0927 163 7846,Globe
name750,lastname750,Male,December,1,1997,BS Management,0927 659 3077,Globe
name751,lastname751,Male,November,19,1998,BS IT Entrepreneurship,0917 682 3751,Globe
name752,lastname752,Female,April,11,2000,BS Legal Management,0927 111 2887,Globe
name753,lastname753,Female,June,1,2000,BS Communications Technology Management,0918 809 4167,Smart
name754,lastname754,Female,June,15,2000,BS Management,0917 380 7974,Globe
name755,lastname755,Male,June,16,2000,BS Management Engineering,0918 234 8018,Smart
name756,lastname756,Female,August,16,1999,BS Management,0917 738 2557,Globe
name757,lastname757,Male,December,13,1999,BS Management Engineering,0927 665 6829,Globe
name758,lastname758,Male,December,15,1998,BS Communications Technology Management,0927 103 9845,Globe
name759,lastname759,Male,November,15,1999,BS IT Entrepreneurship,0918 716 1196,Smart
name760,lastname760,Male,April,21,1997,BS Communications Technology Management,0917 889 2089,Globe
name761,lastname761,Female,March,22,1998,BS Management,0917 536 5199,Globe
name762,lastname762,Male,January,7,2001,BS Management Engineering,0927 201 3572,Globe
name763,lastname763,Male,October,25,1998,BS Legal Management,0927 773 8564,Globe
name764,lastname764,Female,April,27,1999,BS Legal Management,0927 562 9584,Globe
name765,lastname765,Female,November,21,2000,BS Communications Technology Management,0927 573 8454,Globe
name766,lastname766,Male,June,13,1998,BS IT Entrepreneurship,0917 637 5575,Globe
name767,lastname767,Male,February,14,1999,BS Management Engineering,0927 293 1334,Globe
name768,lastname768,Female,April,6,2000,BS Legal Management,0917 166 8658,Globe
name769,lastname769,Male,June,28,1997,BS IT Entrepreneurship,0918 108 9862,Smart
name770,lastname770,Male,April,4,2001,BS Management Engineering,0917 204 2709,Globe
name771,lastname771,Male,December,27,2000,BS Management Engineering,0927 882 6056,Globe
name772,lastname772,Female,May,12,1997,BS Management Engineering,0927 161 6194,Globe
name773,lastname773,Female,December,1,1999,BS Legal Management,0918 906 6087,Smart
name774,lastname774,Male,July,7,1999,BS Management Engineering,0927 658 1298,Globe
name775,lastname775,Female,October,3,1997,BS IT Entrepreneurship,0917 424 4286,Globe
name776,lastname776,Male,November,16,1998,BS Management Engineering,0918 939 2456,Smart
name777,lastname777,Male,December,7,1998,BS Legal Management,0927 870 5781,Globe
name778,lastname778,Female,November,19,1998,BS IT Entrepreneurship,0927 395 8840,Globe
name779,lastname779,Male,February,26,1999,BS Legal Management,0917 270 6901,Globe
name780,lastname780,Male,March,23,1999,BS Management,0917 952 6452,Globe
name781,lastname781,Male,June,18,2001,BS IT Entrepreneurship,0927 418 3742,Globe
name782,lastname782,Male,January,7,1997,BS Management Engineering,0918 233 8431,Smart
name783,lastname783,Male,January,13,2001,BS Communications Technology Management,0918 219 7061,Smart
name784,lastname784,Male,October,13,1998,BS Management,0927 298 9517,Globe
name785,lastname785,Male,November,10,1999,BS Communications Technology Management,0918 853 5737,Smart
name786,lastname786,Male,January,20,1999,BS Management Engineering,0917 731 6873,Globe
name787,lastname787,Female,May,6,1999,BS Legal Management,0927 927 3411,Globe
name788,lastname788,Female,December,10,1999,BS IT Entrepreneurship,0918 304 1152,Smart
name789,lastname789,Female,June,6,1998,BS Management Engineering,0927 479 4510,Globe
name790,lastname790,Male,November,8,1999,BS Management Engineering,0917 541 7757,Globe
name791,lastname791,Male,February,2,1998,BS Management,0918 892 1734,Smart
name792,lastname792,Female,June,28,1998,BS Legal Management,0917 551 8650,Globe
name793,lastname793,Male,January,19,2000,BS Management,0918 468 7521,Smart
name794,lastname794,Male,April,17,1999,BS Communications Technology Management,0917 241 9293,Globe
name795,lastname795,Female,July,20,1999,BS Legal Management,0917 805 7437,Globe
name796,lastname796,Female,June,28,1998,BS Management,0927 494 5884,Globe
name797,lastname797,Male,September,27,1999,BS Management,0917 846 2976,Globe
name798,lastname798,Male,October,8,1999,BS Management,0917 982 7959,Globe
name799,lastname799,Male,October,6,1997,BS Legal Management,0917 763 4267,Globe
name800,lastname800,Male,October,4,2000,BS Management Engineering,0927 925 9558,Globe
name801,lastname801,Female,July,9,1998,BS Communications Technology Management,0918 222 8588,Smart
name802,lastname802,Female,September,20,2000,BS Legal Management,0917 432 8589,Globe
name803,lastname803,Male,September,8,1999,BS Management Engineering,0927 141 1347,Globe
name804,lastname804,Female,January,4,2000,BS Communications Technology Management,0918 335 4115,Smart
name805,lastname805,Male,February,22,1999,BS Management,0927 672 2746,Globe
name806,lastname806,Female,September,16,1998,BS Management Engineering,0917 894 5967,Globe
name807,lastname807,Male,August,16,1999,BS Management,0917 293 8858,Globe
name808,lastname808,Female,February,5,1997,BS Legal Management,0917 340 6918,Globe
name809,lastname809,Female,March,16,1999,BS Legal Management,0917 542 4578,Globe
name810,lastname810,Male,July,27,2001,BS Management,0927 488 5698,Globe
name811,lastname811,Female,September,12,1997,BS Legal Management,0917 710 6722,Globe
name812,lastname812,Male,April,3,2000,BS IT Entrepreneurship,0927 312 1350,Globe
name813,lastname813,Male,July,22,1998,BS IT Entrepreneurship,0927 930 8635,Globe
name814,lastname814,Male,September,24,2001,BS Legal Management,0918 674 6521,Smart
name815,lastname815,Male,May,28,1997,BS Management,0917 378 9770,Globe
name816,lastname816,Male,October,22,2000,BS Management Engineering,0917 744 7100,Globe
name817,lastname817,Female,May,23,2000,BS Legal Management,0927 617 8372,Globe
name818,lastname818,Female,May,5,1997,BS Management Engineering,0918 114 7136,Smart
name819,lastname819,Male,March,2,2000,BS IT Entrepreneurship,0927 842 2036,Globe
name820,lastname820,Male,May,8,2001,BS Management,0917 318 2989,Globe
name821,lastname821,Female,December,20,2001,BS Management,0918 936 7960,Smart
name822,lastname822,Female,February,28,1998,BS Legal Management,0918 417 7143,Smart
name823,lastname823,Female,February,26,1998,BS Communications Technology Management,0927 892 4500,Globe
name824,lastname824,Female,June,28,1997,BS Legal Management,0918 481 9803,Smart
name825,lastname825,Male,December,10,1998,BS Management Engineering,0917 819 3783,Globe
name826,lastname826,Female,January,1,1998,BS Communications Technology Management,0918 126 2024,Smart
name827,lastname827,Female,November,21,1997,BS Management,0927 562 3224,Globe
name828,lastname828,Female,July,13,2000,BS Management Engineering,0918 308 7447,Smart
name829,lastname829,Female,September,7,2001,BS Management,0917 447 9808,Globe
name830,lastname830,Male,August,19,1999,BS Management,0927 549 7794,Globe
name831,lastname831,Female,January,2,1999,BS IT Entrepreneurship,0917 239 1786,Globe
name832,lastname832,Female,August,20,1998,BS Communications Technology Management,0927 763 5312,Globe
name833,lastname833,Female,September,15,2000,BS IT Entrepreneurship,0917 417 7432,Globe
name834,lastname834,Female,May,15,2001,BS Communications Technology Management,0917 116 7049,Globe
name835,lastname835,Male,August,25,2001,BS Legal Management,0918 573 6898,Smart
name836,lastname836,Female,March,26,2001,BS Management Engineering,0927 931 9624,Globe
name837,lastname837,Female,November,14,2000,BS Communications Technology Management,0927 857 6715,Globe
name838,lastname838,Male,December,13,2001,BS Communications Technology Management,0918 747 9833,Smart
name839,lastname839,Male,September,3,1998,BS Management,0917 494 4004,Globe
name840,lastname840,Female,October,22,1998,BS Communications Technology Management,0927 677 8540,Globe
name841,lastname841,Male,August,20,1999,BS Management,0917 723 1059,Globe
name842,lastname842,Female,July,22,1999,BS IT Entrepreneurship,0927 407 5637,Globe
name843,lastname843,Female,April,4,1997,BS Management,0927 873 8336,Globe
name844,lastname844,Male,May,28,1999,BS Management Engineering,0917 284 2175,Globe
name845,lastname845,Male,September,7,1998,BS IT Entrepreneurship,0918 450 1669,Smart
name846,lastname846,Female,September,1,1997,BS Legal Management,0918 337 6525,Smart
name847,lastname847,Female,November,15,1998,BS Management Engineering,0927 963 1010,Globe
name848,lastname848,Female,August,17,1999,BS IT Entrepreneurship,0918 782 1125,Smart
name849,lastname849,Male,September,15,1997,BS Communications Technology Management,0927 158 9777,Globe
name850,lastname850,Female,November,16,2001,BS Management Engineering,0918 454 2076,Smart
name851,lastname851,Female,July,4,1997,BS Legal Management,0918 681 4113,Smart
name852,lastname852,Female,July,1,1997,BS Legal Management,0927 402 8839,Globe
name853,lastname853,Male,June,21,2000,BS Communications Technology Management,0927 180 3943,Globe
name854,lastname854,Male,September,6,1997,BS IT Entrepreneurship,0918 175 3354,Smart
name855,lastname855,Female,February,23,1998,BS Management Engineering,0917 816 3618,Globe
name856,lastname856,Female,May,7,1998,BS Management,0927 119 9872,Globe
name857,lastname857,Female,September,13,1998,BS Legal Management,0917 795 3886,Globe
name858,lastname858,Male,April,18,2000,BS IT Entrepreneurship,0927 106 6957,Globe
name859,lastname859,Female,November,20,2001,BS Legal Management,0918 513 9069,Smart
name860,lastname860,Female,April,19,1997,BS Management Engineering,0918 713 5212,Smart
name861,lastname861,Female,December,27,1998,BS IT Entrepreneurship,0918 685 4917,Smart
name862,lastname862,Male,July,3,1998,BS Management,0927 581 1326,Globe
name863,lastname863,Female,February,12,2001,BS Management,0927 618 6967,Globe
name864,lastname864,Male,July,12,1999,BS Legal Management,0918 357 1556,Smart
name865,lastname865,Male,May,17,2001,BS Legal Management,0917 693 6203,Globe
name866,lastname866,Male,May,16,1998,BS Legal Management,0927 248 6994,Globe
name867,lastname867,Male,March,28,1997,BS IT Entrepreneurship,0917 143 6591,Globe
name868,lastname868,Male,January,11,1999,BS Management Engineering,0917 299 3591,Globe
name869,lastname869,Male,July,27,1997,BS Communications Technology Management,0927 592 1019,Globe
name870,lastname870,Male,January,11,1999,BS Communications Technology Management,0918 155 7151,Smart
name871,lastname871,Female,July,7,1999,BS Communications Technology Management,0917 403 6185,Globe
name872,lastname872,Female,March,23,1997,BS Communications Technology Management,0917 420 2785,Globe
name873,lastname873,Female,May,17,1999,BS Management Engineering,0918 966 3409,Smart
name874,lastname874,Female,January,10,1998,BS Communications Technology Management,0918 646 6350,Smart
name875,lastname875,Female,June,17,2001,BS IT Entrepreneurship,0927 400 5224,Globe
name876,lastname876,Female,February,21,2001,BS Communications Technology Management,0918 908 6977,Smart
name877,lastname877,Female,August,27,2001,BS IT Entrepreneurship,0918 638 9959,Smart
name878,lastname878,Male,July,22,1999,BS Legal Management,0918 616 5326,Smart
name879,lastname879,Male,December,25,1998,BS Management Engineering,0918 139 7536,Smart
name880,lastname880,Female,March,17,1998,BS Management Engineering,0917 533 5972,Globe
name881,lastname881,Female,December,2,2000,BS IT Entrepreneurship,0917 221 7566,Globe
name882,lastname882,Female,April,5,1999,BS Communications Technology Management,0927 530 7214,Globe
name883,lastname883,Female,July,4,1997,BS Legal Management,0917 868 9083,Globe
name884,lastname884,Female,April,23,2000,BS Legal Management,0918 660 3128,Smart
name885,lastname885,Male,December,11,2000,BS Management,0927 175 2972,Globe
name886,lastname886,Female,October,26,1997,BS Legal Management,0917 276 8699,Globe
name887,lastname887,Female,April,4,2000,BS Management Engineering,0917 210 7063,Globe
name888,lastname888,Female,July,2,1998,BS Management,0927 127 3113,Globe
name889,lastname889,Male,July,20,2001,BS Management,0917 977 3508,Globe
name890,lastname890,Male,November,2,1998,BS Management,0917 328 9205,Globe
name891,lastname891,Female,August,13,2000,BS Management Engineering,0918 821 7480,Smart
name892,lastname892,Male,March,26,1998,BS Management Engineering,0917 689 2678,Globe
name893,lastname893,Female,July,2,1998,BS Legal Management,0927 597 4601,Globe
name894,lastname894,Male,March,21,1999,BS Legal Management,0917 165 3793,Globe
name895,lastname895,Male,February,14,1999,BS IT Entrepreneurship,0917 166 3062,Globe
name896,lastname896,Male,October,10,1998,BS Legal Management,0927 346 9730,Globe
name897,lastname897,Male,October,1,2000,BS Management,0918 912 7678,Smart
name898,lastname898,Male,April,17,1999,BS IT Entrepreneurship,0917 170 1087,Globe
name899,lastname899,Male,August,3,1997,BS Management,0918 972 7480,Smart
name900,lastname900,Female,December,4,1997,BS Legal Management,0927 700 9691,Globe
name901,lastname901,Male,April,2,2001,BS Communications Technology Management,0927 992 8635,Globe
name902,lastname902,Female,January,18,2001,BS IT Entrepreneurship,0918 101 2444,Smart
name903,lastname903,Female,May,27,1997,BS Management,0918 111 3466,Smart
name904,lastname904,Female,December,8,1997,BS Management Engineering,0917 991 3757,Globe
name905,lastname905,Female,March,12,1999,BS IT Entrepreneurship,0917 607 4978,Globe
name906,lastname906,Female,October,12,1998,BS Legal Management,0918 901 1766,Smart
name907,lastname907,Female,July,25,1997,BS Communications Technology Management,0917 774 3282,Globe
name908,lastname908,Male,January,11,1999,BS Communications Technology Management,0918 186 9039,Smart
name909,lastname909,Male,December,27,1998,BS Communications Technology Management,0918 931 9646,Smart
name910,lastname910,Female,September,15,2001,BS Communications Technology Management,0918 959 8390,Smart
name911,lastname911,Male,November,9,1997,BS Management,0918 566 3286,Smart
name912,lastname912,Female,December,1,1998,BS Management,0918 599 4332,Smart
name913,lastname913,Male,June,23,1999,BS Management,0927 573 4571,Globe
name914,lastname914,Female,March,23,1999,BS IT Entrepreneurship,0917 798 2620,Globe
name915,lastname915,Female,April,19,1997,BS Legal Management,0917 265 9185,Globe
name916,lastname916,Male,January,24,1997,BS Communications Technology Management,0927 753 1533,Globe
name917,lastname917,Male,August,17,2001,BS IT Entrepreneurship,0917 588 3224,Globe
name918,lastname918,Female,November,9,1997,BS Legal Management,0918 870 2621,Smart
name919,lastname919,Male,March,18,1997,BS Communications Technology Management,0918 982 6506,Smart
name920,lastname920,Male,November,12,2000,BS Management Engineering,0917 710 6432,Globe
name921,lastname921,Male,July,21,2001,BS Management,0927 689 3928,Globe
name922,lastname922,Male,May,25,2000,BS Legal Management,0918 723 7128,Smart
name923,lastname923,Male,January,17,2001,BS Management,0927 188 1317,Globe
name924,lastname924,Male,July,14,1997,BS Communications Technology Management,0917 751 9632,Globe
name925,lastname925,Female,November,4,1999,BS Communications Technology Management,0917 409 7669,Globe
name926,lastname926,Male,April,24,1998,BS IT Entrepreneurship,0918 777 1156,Smart
name927,lastname927,Male,July,28,1997,BS Management Engineering,0918 390 2146,Smart
name928,lastname928,Female,February,13,1997,BS Management Engineering,0918 675 5512,Smart
name929,lastname929,Female,November,21,1999,BS IT Entrepreneurship,0918 450 7839,Smart
name930,lastname930,Male,November,25,1999,BS Management Engineering,0927 950 5397,Globe
name931,lastname931,Male,March,16,1998,BS Management,0917 409 7205,Globe
name932,lastname932,Male,August,5,1999,BS Management,0927 768 9251,Globe
name933,lastname933,Female,June,12,1999,BS Legal Management,0927 860 1383,Globe
name934,lastname934,Female,July,28,2000,BS Management Engineering,0927 966 2788,Globe
name935,lastname935,Male,August,24,1999,BS Communications Technology Management,0918 597 5321,Smart
name936,lastname936,Male,November,2,2000,BS Legal Management,0918 720 1768,Smart
name937,lastname937,Male,January,8,1998,BS Management,0918 582 3906,Smart
name938,lastname938,Female,January,22,2000,BS Management Engineering,0918 184 3212,Smart
name939,lastname939,Female,April,17,1997,BS Management Engineering,0917 271 5839,Globe
name940,lastname940,Female,June,6,1998,BS Management,0917 977 7795,Globe
name941,lastname941,Male,July,21,1999,BS Management Engineering,0917 165 6593,Globe
name942,lastname942,Male,August,14,2000,BS Communications Technology Management,0917 223 2556,Globe
name943,lastname943,Male,April,24,1999,BS Communications Technology Management,0927 770 7950,Globe
name944,lastname944,Female,November,13,1998,BS Communications Technology Management,0927 664 6148,Globe
name945,lastname945,Female,November,2,1999,BS IT Entrepreneurship,0927 890 5180,Globe
name946,lastname946,Female,September,20,1998,BS Management Engineering,0927 644 4841,Globe
name947,lastname947,Male,September,27,1999,BS Management Engineering,0917 505 1295,Globe
name948,lastname948,Female,July,9,1998,BS IT Entrepreneurship,0917 906 6791,Globe
name949,lastname949,Female,August,7,2000,BS Management Engineering,0917 374 6420,Globe
name950,lastname950,Female,July,15,1997,BS Management,0927 295 1812,Globe
name951,lastname951,Female,August,20,2000,BS Management Engineering,0917 689 8285,Globe
name952,lastname952,Male,April,7,1998,BS Legal Management,0918 678 4969,Smart
name953,lastname953,Female,July,16,2001,BS Legal Management,0918 294 9247,Smart
name954,lastname954,Female,April,23,2000,BS Communications Technology Management,0918 780 7638,Smart
name955,lastname955,Male,November,4,1998,BS IT Entrepreneurship,0918 760 1168,Smart
name956,lastname956,Male,November,16,1997,BS Legal Management,0927 373 9248,Globe
name957,lastname957,Male,March,15,1997,BS Management,0918 501 9104,Smart
name958,lastname958,Male,June,23,1999,BS Communications Technology Management,0917 316 9587,Globe
name959,lastname959,Female,November,1,1997,BS Management Engineering,0927 234 2768,Globe
name960,lastname960,Male,August,5,1998,BS Management,0918 949 2654,Smart
name961,lastname961,Male,October,28,1997,BS Management Engineering,0917 815 2634,Globe
name962,lastname962,Female,June,24,1998,BS IT Entrepreneurship,0927 772 9962,Globe
name963,lastname963,Male,December,25,1997,BS IT Entrepreneurship,0917 309 4471,Globe
name964,lastname964,Male,March,24,2000,BS Communications Technology Management,0917 749 3301,Globe
name965,lastname965,Female,July,21,1997,BS Communications Technology Management,0927 384 2721,Globe
name966,lastname966,Female,November,15,1999,BS IT Entrepreneurship,0917 237 8133,Globe
name967,lastname967,Male,March,26,1999,BS IT Entrepreneurship,0927 964 4299,Globe
name968,lastname968,Female,March,19,2000,BS Communications Technology Management,0917 240 9076,Globe
name969,lastname969,Female,June,2,1998,BS IT Entrepreneurship,0917 176 9439,Globe
name970,lastname970,Male,July,9,1997,BS Management Engineering,0927 100 9164,Globe
name971,lastname971,Female,April,9,1998,BS Management Engineering,0927 730 8393,Globe
name972,lastname972,Male,November,28,1999,BS Communications Technology Management,0917 389 5738,Globe
name973,lastname973,Male,May,25,1997,BS Management Engineering,0917 634 5100,Globe
name974,lastname974,Male,December,20,2001,BS IT Entrepreneurship,0927 357 1836,Globe
name975,lastname975,Female,March,11,2000,BS Management Engineering,0917 868 4656,Globe
name976,lastname976,Female,November,7,1999,BS Legal Management,0918 918 7519,Smart
name977,lastname977,Female,March,21,1999,BS Management Engineering,0918 632 8482,Smart
name978,lastname978,Female,November,25,1997,BS Management Engineering,0917 525 6204,Globe
name979,lastname979,Male,September,23,1998,BS Management,0927 765 1941,Globe
name980,lastname980,Female,December,14,2001,BS Legal Management,0918 606 4478,Smart
name981,lastname981,Male,March,10,1999,BS Communications Technology Management,0927 760 8017,Globe
name982,lastname982,Female,June,21,2000,BS Legal Management,0917 829 3943,Globe
name983,lastname983,Male,March,24,1999,BS Legal Management,0917 662 1872,Globe
name984,lastname984,Female,July,22,1999,BS Legal Management,0917 283 7138,Globe
name985,lastname985,Female,November,17,2001,BS Communications Technology Management,0927 254 1823,Globe
name986,lastname986,Female,February,28,2000,BS Communications Technology Management,0917 628 1470,Globe
name987,lastname987,Female,January,13,1997,BS Management,0927 147 7217,Globe
name988,lastname988,Male,December,27,1997,BS Legal Management,0917 314 4815,Globe
name989,lastname989,Male,February,26,1999,BS Management Engineering,0918 168 3635,Smart
name990,lastname990,Male,October,4,1998,BS Management,0918 313 9787,Smart
name991,lastname991,Male,November,22,2000,BS Management,0927 117 4649,Globe
name992,lastname992,Female,August,14,1999,BS Legal Management,0927 528 8069,Globe
name993,lastname993,Male,July,5,2000,BS Management,0918 851 8170,Smart
name994,lastname994,Female,May,20,1998,BS Management Engineering,0927 793 3024,Globe
name995,lastname995,Male,June,11,1999,BS IT Entrepreneurship,0927 871 6633,Globe
name996,lastname996,Female,May,4,1998,BS Legal Management,0927 159 8838,Globe
name997,lastname997,Male,September,24,1997,BS Management,0918 333 2036,Smart
name998,lastname998,Male,March,4,1999,BS Communications Technology Management,0917 116 1724,Globe
name999,lastname999,Female,January,11,1999,BS Management,0917 997 1830,Globe
name1000,lastname1000,Female,July,24,1998,BS Legal Management,0927 789 2057,Globe
name1001,lastname1001,Male,October,13,1999,BS Legal Management,0918 226 5829,Smart
name1002,lastname1002,Female,January,16,1997,BS IT Entrepreneurship,0917 189 5851,Globe
name1003,lastname1003,Female,July,1,1999,BS IT Entrepreneurship,0917 577 5113,Globe
name1004,lastname1004,Female,June,8,1997,BS Management Engineering,0918 633 2873,Smart
name1005,lastname1005,Female,January,14,2000,BS Management,0918 107 4666,Smart
name1006,lastname1006,Male,March,23,1999,BS IT Entrepreneurship,0917 575 1571,Globe
name1007,lastname1007,Male,September,14,1997,BS Management,0918 673 9002,Smart
name1008,lastname1008,Female,May,13,1998,BS Communications Technology Management,0927 455 7889,Globe
name1009,lastname1009,Female,February,23,1998,BS Management,0918 790 1682,Smart
name1010,lastname1010,Female,May,25,1999,BS Management,0917 254 7870,Globe
name1011,lastname1011,Male,April,9,1999,BS Legal Management,0918 652 6097,Smart
name1012,lastname1012,Female,May,14,1997,BS Management,0917 120 1564,Globe
name1013,lastname1013,Male,September,8,1997,BS Management,0927 878 8766,Globe
name1014,lastname1014,Female,May,1,2001,BS Management Engineering,0918 524 3684,Smart
name1015,lastname1015,Female,March,10,1997,BS Legal Management,0917 209 4854,Globe
name1016,lastname1016,Male,April,16,1997,BS Communications Technology Management,0917 610 8591,Globe
name1017,lastname1017,Female,January,17,1998,BS Communications Technology Management,0918 198 8897,Smart
name1018,lastname1018,Male,February,21,1997,BS Management,0917 470 7921,Globe
name1019,lastname1019,Male,July,16,2001,BS Management,0917 415 3731,Globe
name1020,lastname1020,Female,March,13,1999,BS Management,0917 421 2734,Globe
name1021,lastname1021,Male,May,20,1998,BS IT Entrepreneurship,0917 286 5078,Globe
name1022,lastname1022,Female,December,4,1997,BS IT Entrepreneurship,0918 819 6422,Smart
name1023,lastname1023,Male,June,28,2000,BS Legal Management,0918 423 3021,Smart
name1024,lastname1024,Male,September,9,1998,BS Management Engineering,0917 720 3510,Globe
name1025,lastname1025,Male,March,8,1999,BS Communications Technology Management,0918 748 6951,Smart
name1026,lastname1026,Female,January,15,1998,BS Management,0927 426 7423,Globe
name1027,lastname1027,Female,January,14,1999,BS Management Engineering,0927 556 8003,Globe
name1028,lastname1028,Female,June,28,1999,BS Management,0927 571 1913,Globe
name1029,lastname1029,Female,September,11,1999,BS Communications Technology Management,0927 120 7807,Globe
name1030,lastname1030,Female,April,7,2001,BS Legal Management,0917 327 6289,Globe
name1031,lastname1031,Female,August,21,1999,BS IT Entrepreneurship,0918 446 4044,Smart
name1032,lastname1032,Male,December,26,1999,BS Communications Technology Management,0917 959 9685,Globe
name1033,lastname1033,Female,May,16,1998,BS Communications Technology Management,0918 371 7071,Smart
name1034,lastname1034,Male,December,15,2000,BS Management,0927 777 1235,Globe
name1035,lastname1035,Female,June,1,1999,BS Communications Technology Management,0918 657 6901,Smart
name1036,lastname1036,Male,June,3,2000,BS Management,0927 465 6997,Globe
name1037,lastname1037,Female,January,19,2001,BS IT Entrepreneurship,0918 777 8386,Smart
name1038,lastname1038,Female,January,22,1999,BS Management Engineering,0918 591 8053,Smart
name1039,lastname1039,Male,January,16,2000,BS Management Engineering,0917 604 5494,Globe
