firstname,lastname,birthmonth,birthday,birthyear,course,phonenumber
name761,lastname761,March,22,1998,BS Management,0917 536 5199
name762,lastname762,January,7,2001,BS Management Engineering,0927 201 3572
name763,lastname763,October,25,1998,BS Legal Management,0927 773 8564
name764,lastname764,April,27,1999,BS Legal Management,0927 562 9584
name765,lastname765,November,21,2000,BS Communications Technology Management,0927 573 8454
name766,lastname766,June,13,1998,BS IT Entrepreneurship,0917 637 5575
name767,lastname767,February,14,1999,BS Management Engineering,0927 293 1334
name768,lastname768,April,6,2000,BS Legal Management,0917 166 8658
name769,lastname769,June,28,1997,BS IT Entrepreneurship,0918 108 9862
name770,lastname770,April,4,2001,BS Management Engineering,0917 204 2709
name771,lastname771,December,27,2000,BS Management Engineering,0927 882 6056
name772,lastname772,May,12,1997,BS Management Engineering,0927 161 6194
name773,lastname773,December,1,1999,BS Legal Management,0918 906 6087
name774,lastname774,July,7,1999,BS Management Engineering,0927 658 1298
name775,lastname775,October,3,1997,BS IT Entrepreneurship,0917 424 4286
name776,lastname776,November,16,1998,BS Management Engineering,0918 939 2456
name777,lastname777,December,7,1998,BS Legal Management,0927 870 5781
name778,lastname778,November,19,1998,BS IT Entrepreneurship,0927 395 8840
name779,lastname779,February,26,1999,BS Legal Management,0917 270 6901
name780,lastname780,March,23,1999,BS Management,0917 952 6452
name781,lastname781,June,18,2001,BS IT Entrepreneurship,0927 418 3742
name782,lastname782,January,7,1997,BS Management Engineering,0918 233 8431
name783,lastname783,January,13,2001,BS Communications Technology Management,0918 219 7061
name784,lastname784,October,13,1998,BS Management,0927 298 9517
name785,lastname785,November,10,1999,BS Communications Technology Management,0918 853 5737
name786,lastname786,January,20,1999,BS Management Engineering,0917 731 6873
name787,lastname787,May,6,1999,BS Legal Management,0927 927 3411
name788,lastname788,December,10,1999,BS IT Entrepreneurship,0918 304 1152
name789,lastname789,June,6,1998,BS Management Engineering,0927 479 4510
name790,lastname790,November,8,1999,BS Management Engineering,0917 541 7757
name791,lastname791,February,2,1998,BS Management,0918 892 1734
name792,lastname792,June,28,1998,BS Legal Management,0917 551 8650
name793,lastname793,January,19,2000,BS Management,0918 468 7521
name794,lastname794,April,17,1999,BS Communications Technology Management,0917 241 9293
name795,lastname795,July,20,1999,BS Legal Management,0917 805 7437
name796,lastname796,June,28,1998,BS Management,0927 494 5884
name797,lastname797,September,27,1999,BS Management,0917 846 2976
name798,lastname798,October,8,1999,BS Management,0917 982 7959
name799,lastname799,October,6,1997,BS Legal Management,0917 763 4267
name800,lastname800,October,4,2000,BS Management Engineering,0927 925 9558
name801,lastname801,July,9,1998,BS Communications Technology Management,0918 222 8588
name802,lastname802,September,20,2000,BS Legal Management,0917 432 8589
name803,lastname803,September,8,1999,BS Management Engineering,0927 141 1347
name804,lastname804,January,4,2000,BS Communications Technology Management,0918 335 4115
name805,lastname805,February,22,1999,BS Management,0927 672 2746
name806,lastname806,September,16,1998,BS Management Engineering,0917 894 5967
name807,lastname807,August,16,1999,BS Management,0917 293 8858
name808,lastname808,February,5,1997,BS Legal Management,0917 340 6918
name809,lastname809,March,16,1999,BS Legal Management,0917 542 4578
name810,lastname810,July,27,2001,BS Management,0927 488 5698
name811,lastname811,September,12,1997,BS Legal Management,0917 710 6722
name812,lastname812,April,3,2000,BS IT Entrepreneurship,0927 312 1350
name813,lastname813,July,22,1998,BS IT Entrepreneurship,0927 930 8635
name814,lastname814,September,24,2001,BS Legal Management,0918 674 6521
name815,lastname815,May,28,1997,BS Management,0917 378 9770
name816,lastname816,October,22,2000,BS Management Engineering,0917 744 7100
name817,lastname817,May,23,2000,BS Legal Management,0927 617 8372
name818,lastname818,May,5,1997,BS Management Engineering,0918 114 7136
name819,lastname819,March,2,2000,BS IT Entrepreneurship,0927 842 2036
name820,lastname820,May,8,2001,BS Management,0917 318 2989
name821,lastname821,December,20,2001,BS Management,0918 936 7960
name822,lastname822,February,28,1998,BS Legal Management,0918 417 7143
name823,lastname823,February,26,1998,BS Communications Technology Management,0927 892 4500
name824,lastname824,June,28,1997,BS Legal Management,0918 481 9803
name825,lastname825,December,10,1998,BS Management Engineering,0917 819 3783
name826,lastname826,January,1,1998,BS Communications Technology Management,0918 126 2024
name827,lastname827,November,21,1997,BS Management,0927 562 3224
name828,lastname828,July,13,2000,BS Management Engineering,0918 308 7447
name829,lastname829,September,7,2001,BS Management,0917 447 9808
name830,lastname830,August,19,1999,BS Management,0927 549 7794
name831,lastname831,January,2,1999,BS IT Entrepreneurship,0917 239 1786
name832,lastname832,August,20,1998,BS Communications Technology Management,0927 763 5312
name833,lastname833,September,15,2000,BS IT Entrepreneurship,0917 417 7432
name834,lastname834,May,15,2001,BS Communications Technology Management,0917 116 7049
name835,lastname835,August,25,2001,BS Legal Management,0918 573 6898
name836,lastname836,March,26,2001,BS Management Engineering,0927 931 9624
name837,lastname837,November,14,2000,BS Communications Technology Management,0927 857 6715
name838,lastname838,December,13,2001,BS Communications Technology Management,0918 747 9833
name839,lastname839,September,3,1998,BS Management,0917 494 4004
name840,lastname840,October,22,1998,BS Communications Technology Management,0927 677 8540
name841,lastname841,August,20,1999,BS Management,0917 723 1059
name842,lastname842,July,22,1999,BS IT Entrepreneurship,0927 407 5637
name843,lastname843,April,4,1997,BS Management,0927 873 8336
name844,lastname844,May,28,1999,BS Management Engineering,0917 284 2175
name845,lastname845,September,7,1998,BS IT Entrepreneurship,0918 450 1669
name846,lastname846,September,1,1997,BS Legal Management,0918 337 6525
name847,lastname847,November,15,1998,BS Management Engineering,0927 963 1010
name848,lastname848,August,17,1999,BS IT Entrepreneurship,0918 782 1125
name849,lastname849,September,15,1997,BS Communications Technology Management,0927 158 9777
name850,lastname850,November,16,2001,BS Management Engineering,0918 454 2076
name851,lastname851,July,4,1997,BS Legal Management,0918 681 4113
name852,lastname852,July,1,1997,BS Legal Management,0927 402 8839
name853,lastname853,June,21,2000,BS Communications Technology Management,0927 180 3943
name854,lastname854,September,6,1997,BS IT Entrepreneurship,0918 175 3354
name855,lastname855,February,23,1998,BS Management Engineering,0917 816 3618
name856,lastname856,May,7,1998,BS Management,0927 119 9872
name857,lastname857,September,13,1998,BS Legal Management,0917 795 3886
name858,lastname858,April,18,2000,BS IT Entrepreneurship,0927 106 6957
name859,lastname859,November,20,2001,BS Legal Management,0918 513 9069
name860,lastname860,April,19,1997,BS Management Engineering,0918 713 5212
name861,lastname861,December,27,1998,BS IT Entrepreneurship,0918 685 4917
name862,lastname862,July,3,1998,BS Management,0927 581 1326
name863,lastname863,February,12,2001,BS Management,0927 618 6967
name864,lastname864,July,12,1999,BS Legal Management,0918 357 1556
name865,lastname865,May,17,2001,BS Legal Management,0917 693 6203
name866,lastname866,May,16,1998,BS Legal Management,0927 248 6994
name867,lastname867,March,28,1997,BS IT Entrepreneurship,0917 143 6591
name868,lastname868,January,11,1999,BS Management Engineering,0917 299 3591
name869,lastname869,July,27,1997,BS Communications Technology Management,0927 592 1019
name870,lastname870,January,11,1999,BS Communications Technology Management,0918 155 7151
name871,lastname871,July,7,1999,BS Communications Technology Management,0917 403 6185
name872,lastname872,March,23,1997,BS Communications Technology Management,0917 420 2785
name873,lastname873,May,17,1999,BS Management Engineering,0918 966 3409
name874,lastname874,January,10,1998,BS Communications Technology Management,0918 646 6350
name875,lastname875,June,17,2001,BS IT Entrepreneurship,0927 400 5224
name876,lastname876,February,21,2001,BS Communications Technology Management,0918 908 6977
name877,lastname877,August,27,2001,BS IT Entrepreneurship,0918 638 9959
name878,lastname878,July,22,1999,BS Legal Management,0918 616 5326
name879,lastname879,December,25,1998,BS Management Engineering,0918 139 7536
name880,lastname880,March,17,1998,BS Management Engineering,0917 533 5972
name881,lastname881,December,2,2000,BS IT Entrepreneurship,0917 221 7566
name882,lastname882,April,5,1999,BS Communications Technology Management,0927 530 7214
name883,lastname883,July,4,1997,BS Legal Management,0917 868 9083
name884,lastname884,April,23,2000,BS Legal Management,0918 660 3128
name885,lastname885,December,11,2000,BS Management,0927 175 2972
name886,lastname886,October,26,1997,BS Legal Management,0917 276 8699
name887,lastname887,April,4,2000,BS Management Engineering,0917 210 7063
name888,lastname888,July,2,1998,BS Management,0927 127 3113
name889,lastname889,July,20,2001,BS Management,0917 977 3508
name890,lastname890,November,2,1998,BS Management,0917 328 9205
name891,lastname891,August,13,2000,BS Management Engineering,0918 821 7480
name892,lastname892,March,26,1998,BS Management Engineering,0917 689 2678
name893,lastname893,July,2,1998,BS Legal Management,0927 597 4601
name894,lastname894,March,21,1999,BS Legal Management,0917 165 3793
name895,lastname895,February,14,1999,BS IT Entrepreneurship,0917 166 3062
name896,lastname896,October,10,1998,BS Legal Management,0927 346 9730
name897,lastname897,October,1,2000,BS Management,0918 912 7678
name898,lastname898,April,17,1999,BS IT Entrepreneurship,0917 170 1087
name899,lastname899,August,3,1997,BS Management,0918 972 7480
name900,lastname900,December,4,1997,BS Legal Management,0927 700 9691
name901,lastname901,April,2,2001,BS Communications Technology Management,0927 992 8635
name902,lastname902,January,18,2001,BS IT Entrepreneurship,0918 101 2444
name903,lastname903,May,27,1997,BS Management,0918 111 3466
name904,lastname904,December,8,1997,BS Management Engineering,0917 991 3757
name905,lastname905,March,12,1999,BS IT Entrepreneurship,0917 607 4978
name906,lastname906,October,12,1998,BS Legal Management,0918 901 1766
name907,lastname907,July,25,1997,BS Communications Technology Management,0917 774 3282
name908,lastname908,January,11,1999,BS Communications Technology Management,0918 186 9039
name909,lastname909,December,27,1998,BS Communications Technology Management,0918 931 9646
name910,lastname910,September,15,2001,BS Communications Technology Management,0918 959 8390
name911,lastname911,November,9,1997,BS Management,0918 566 3286
name912,lastname912,December,1,1998,BS Management,0918 599 4332
name913,lastname913,June,23,1999,BS Management,0927 573 4571
name914,lastname914,March,23,1999,BS IT Entrepreneurship,0917 798 2620
name915,lastname915,April,19,1997,BS Legal Management,0917 265 9185
name916,lastname916,January,24,1997,BS Communications Technology Management,0927 753 1533
name917,lastname917,August,17,2001,BS IT Entrepreneurship,0917 588 3224
name918,lastname918,November,9,1997,BS Legal Management,0918 870 2621
name919,lastname919,March,18,1997,BS Communications Technology Management,0918 982 6506
name920,lastname920,November,12,2000,BS Management Engineering,0917 710 6432
name921,lastname921,July,21,2001,BS Management,0927 689 3928
name922,lastname922,May,25,2000,BS Legal Management,0918 723 7128
name923,lastname923,January,17,2001,BS Management,0927 188 1317
name924,lastname924,July,14,1997,BS Communications Technology Management,0917 751 9632
name925,lastname925,November,4,1999,BS Communications Technology Management,0917 409 7669
name926,lastname926,April,24,1998,BS IT Entrepreneurship,0918 777 1156
name927,lastname927,July,28,1997,BS Management Engineering,0918 390 2146
name928,lastname928,February,13,1997,BS Management Engineering,0918 675 5512
name929,lastname929,November,21,1999,BS IT Entrepreneurship,0918 450 7839
name930,lastname930,November,25,1999,BS Management Engineering,0927 950 5397
name931,lastname931,March,16,1998,BS Management,0917 409 7205
name932,lastname932,August,5,1999,BS Management,0927 768 9251
name933,lastname933,June,12,1999,BS Legal Management,0927 860 1383
name934,lastname934,July,28,2000,BS Management Engineering,0927 966 2788
name935,lastname935,August,24,1999,BS Communications Technology Management,0918 597 5321
name936,lastname936,November,2,2000,BS Legal Management,0918 720 1768
name937,lastname937,January,8,1998,BS Management,0918 582 3906
name938,lastname938,January,22,2000,BS Management Engineering,0918 184 3212
name939,lastname939,April,17,1997,BS Management Engineering,0917 271 5839
name940,lastname940,June,6,1998,BS Management,0917 977 7795
name941,lastname941,July,21,1999,BS Management Engineering,0917 165 6593
name942,lastname942,August,14,2000,BS Communications Technology Management,0917 223 2556
name943,lastname943,April,24,1999,BS Communications Technology Management,0927 770 7950
name944,lastname944,November,13,1998,BS Communications Technology Management,0927 664 6148
name945,lastname945,November,2,1999,BS IT Entrepreneurship,0927 890 5180
name946,lastname946,September,20,1998,BS Management Engineering,0927 644 4841
name947,lastname947,September,27,1999,BS Management Engineering,0917 505 1295
name948,lastname948,July,9,1998,BS IT Entrepreneurship,0917 906 6791
name949,lastname949,August,7,2000,BS Management Engineering,0917 374 6420
name950,lastname950,July,15,1997,BS Management,0927 295 1812
name951,lastname951,August,20,2000,BS Management Engineering,0917 689 8285
name952,lastname952,April,7,1998,BS Legal Management,0918 678 4969
name953,lastname953,July,16,2001,BS Legal Management,0918 294 9247
name954,lastname954,April,23,2000,BS Communications Technology Management,0918 780 7638
name955,lastname955,November,4,1998,BS IT Entrepreneurship,0918 760 1168
name956,lastname956,November,16,1997,BS Legal Management,0927 373 9248
name957,lastname957,March,15,1997,BS Management,0918 501 9104
name958,lastname958,June,23,1999,BS Communications Technology Management,0917 316 9587
name959,lastname959,November,1,1997,BS Management Engineering,0927 234 2768
name960,lastname960,August,5,1998,BS Management,0918 949 2654
name961,lastname961,October,28,1997,BS Management Engineering,0917 815 2634
name962,lastname962,June,24,1998,BS IT Entrepreneurship,0927 772 9962
name963,lastname963,December,25,1997,BS IT Entrepreneurship,0917 309 4471
name964,lastname964,March,24,2000,BS Communications Technology Management,0917 749 3301
name965,lastname965,July,21,1997,BS Communications Technology Management,0927 384 2721
name966,lastname966,November,15,1999,BS IT Entrepreneurship,0917 237 8133
name967,lastname967,March,26,1999,BS IT Entrepreneurship,0927 964 4299
name968,lastname968,March,19,2000,BS Communications Technology Management,0917 240 9076
name969,lastname969,June,2,1998,BS IT Entrepreneurship,0917 176 9439
name970,lastname970,July,9,1997,BS Management Engineering,0927 100 9164
name971,lastname971,April,9,1998,BS Management Engineering,0927 730 8393
name972,lastname972,November,28,1999,BS Communications Technology Management,0917 389 5738
name973,lastname973,May,25,1997,BS Management Engineering,0917 634 5100
name974,lastname974,December,20,2001,BS IT Entrepreneurship,0927 357 1836
name975,lastname975,March,11,2000,BS Management Engineering,0917 868 4656
name976,lastname976,November,7,1999,BS Legal Management,0918 918 7519
name977,lastname977,March,21,1999,BS Management Engineering,0918 632 8482
name978,lastname978,November,25,1997,BS Management Engineering,0917 525 6204
name979,lastname979,September,23,1998,BS Management,0927 765 1941
name980,lastname980,December,14,2001,BS Legal Management,0918 606 4478
name981,lastname981,March,10,1999,BS Communications Technology Management,0927 760 8017
name982,lastname982,June,21,2000,BS Legal Management,0917 829 3943
name983,lastname983,March,24,1999,BS Legal Management,0917 662 1872
name984,lastname984,July,22,1999,BS Legal Management,0917 283 7138
name985,lastname985,November,17,2001,BS Communications Technology Management,0927 254 1823
name986,lastname986,February,28,2000,BS Communications Technology Management,0917 628 1470
name987,lastname987,January,13,1997,BS Management,0927 147 7217
name988,lastname988,December,27,1997,BS Legal Management,0917 314 4815
name989,lastname989,February,26,1999,BS Management Engineering,0918 168 3635
name990,lastname990,October,4,1998,BS Management,0918 313 9787
name991,lastname991,November,22,2000,BS Management,0927 117 4649
name992,lastname992,August,14,1999,BS Legal Management,0927 528 8069
name993,lastname993,July,5,2000,BS Management,0918 851 8170
name994,lastname994,May,20,1998,BS Management Engineering,0927 793 3024
name995,lastname995,June,11,1999,BS IT Entrepreneurship,0927 871 6633
name996,lastname996,May,4,1998,BS Legal Management,0927 159 8838
name997,lastname997,September,24,1997,BS Management,0918 333 2036
name998,lastname998,March,4,1999,BS Communications Technology Management,0917 116 1724
name999,lastname999,January,11,1999,BS Management,0917 997 1830
name1000,lastname1000,July,24,1998,BS Legal Management,0927 789 2057
name1001,lastname1001,October,13,1999,BS Legal Management,0918 226 5829
name1002,lastname1002,January,16,1997,BS IT Entrepreneurship,0917 189 5851
name1003,lastname1003,July,1,1999,BS IT Entrepreneurship,0917 577 5113
name1004,lastname1004,June,8,1997,BS Management Engineering,0918 633 2873
name1005,lastname1005,January,14,2000,BS Management,0918 107 4666
name1006,lastname1006,March,23,1999,BS IT Entrepreneurship,0917 575 1571
name1007,lastname1007,September,14,1997,BS Management,0918 673 9002
name1008,lastname1008,May,13,1998,BS Communications Technology Management,0927 455 7889
name1009,lastname1009,February,23,1998,BS Management,0918 790 1682
name1010,lastname1010,May,25,1999,BS Management,0917 254 7870
name1011,lastname1011,April,9,1999,BS Legal Management,0918 652 6097
name1012,lastname1012,May,14,1997,BS Management,0917 120 1564
name1013,lastname1013,September,8,1997,BS Management,0927 878 8766
name1014,lastname1014,May,1,2001,BS Management Engineering,0918 524 3684
name1015,lastname1015,March,10,1997,BS Legal Management,0917 209 4854
name1016,lastname1016,April,16,1997,BS Communications Technology Management,0917 610 8591
name1017,lastname1017,January,17,1998,BS Communications Technology Management,0918 198 8897
name1018,lastname1018,February,21,1997,BS Management,0917 470 7921
name1019,lastname1019,July,16,2001,BS Management,0917 415 3731
name1020,lastname1020,March,13,1999,BS Management,0917 421 2734
name1021,lastname1021,May,20,1998,BS IT Entrepreneurship,0917 286 5078
name1022,lastname1022,December,4,1997,BS IT Entrepreneurship,0918 819 6422
name1023,lastname1023,June,28,2000,BS Legal Management,0918 423 3021
name1024,lastname1024,September,9,1998,BS Management Engineering,0917 720 3510
name1025,lastname1025,March,8,1999,BS Communications Technology Management,0918 748 6951
name1026,lastname1026,January,15,1998,BS Management,0927 426 7423
name1027,lastname1027,January,14,1999,BS Management Engineering,0927 556 8003
name1028,lastname1028,June,28,1999,BS Management,0927 571 1913
name1029,lastname1029,September,11,1999,BS Communications Technology Management,0927 120 7807
name1030,lastname1030,April,7,2001,BS Legal Management,0917 327 6289
name1031,lastname1031,August,21,1999,BS IT Entrepreneurship,0918 446 4044
name1032,lastname1032,December,26,1999,BS Communications Technology Management,0917 959 9685
name1033,lastname1033,May,16,1998,BS Communications Technology Management,0918 371 7071
name1034,lastname1034,December,15,2000,BS Management,0927 777 1235
name1035,lastname1035,June,1,1999,BS Communications Technology Management,0918 657 6901
name1036,lastname1036,June,3,2000,BS Management,0927 465 6997
name1037,lastname1037,January,19,2001,BS IT Entrepreneurship,0918 777 8386
name1038,lastname1038,January,22,1999,BS Management Engineering,0918 591 8053
name1039,lastname1039,January,16,2000,BS Management Engineering,0917 604 5494
name1040,lastname1040,December,6,1997,BS Management Engineering,0918 631 5507
name1041,lastname1041,February,12,1998,BS Communications Technology Management,0917 803 3974
name1042,lastname1042,December,24,1997,BS Legal Management,0918 821 6331
name1043,lastname1043,March,13,1999,BS Communications Technology Management,0927 760 2707
name1044,lastname1044,July,2,1997,BS IT Entrepreneurship,0918 349 9660
name1045,lastname1045,May,21,1997,BS Communications Technology Management,0927 713 5773
name1046,lastname1046,May,22,2001,BS Management,0917 214 4255
name1047,lastname1047,May,25,1998,BS Legal Management,0918 340 3323
name1048,lastname1048,March,25,1998,BS Management Engineering,0927 397 4986
name1049,lastname1049,February,1,1997,BS Management Engineering,0917 668 9753
name1050,lastname1050,July,28,1998,BS IT Entrepreneurship,0917 467 6080
name1051,lastname1051,June,9,2001,BS Management Engineering,0927 371 2566
name1052,lastname1052,April,6,1997,BS Legal Management,0917 227 5205
name1053,lastname1053,April,9,2000,BS IT Entrepreneurship,0917 105 9613
name1054,lastname1054,November,7,1998,BS Management Engineering,0918 339 7033
name1055,lastname1055,August,23,1999,BS Communications Technology Management,0918 959 8550
name1056,lastname1056,April,6,1999,BS IT Entrepreneurship,0918 354 7812
name1057,lastname1057,February,28,2001,BS Management Engineering,0918 514 4755
name1058,lastname1058,November,12,2001,BS Legal Management,0927 197 8951
name1059,lastname1059,April,11,1998,BS IT Entrepreneurship,0918 680 4779
name1060,lastname1060,July,1,2000,BS Communications Technology Management,0918 645 6025
name1061,lastname1061,May,24,1997,BS Communications Technology Management,0917 371 3839
name1062,lastname1062,July,19,1998,BS Management Engineering,0927 361 7293
name1063,lastname1063,January,13,1997,BS IT Entrepreneurship,0918 182 1959
name1064,lastname1064,March,7,2000,BS Communications Technology Management,0917 818 4976
name1065,lastname1065,April,8,1999,BS Management,0918 247 3215
name1066,lastname1066,January,28,1997,BS Management Engineering,0927 344 3571
name1067,lastname1067,October,3,1999,BS Legal Management,0917 557 5859
name1068,lastname1068,July,4,1997,BS Communications Technology Management,0918 705 3092
name1069,lastname1069,May,23,1999,BS IT Entrepreneurship,0918 350 6711
name1070,lastname1070,February,18,1999,BS IT Entrepreneurship,0918 569 7640
name1071,lastname1071,January,14,1999,BS Communications Technology Management,0918 474 5680
name1072,lastname1072,August,13,1999,BS Communications Technology Management,0918 441 2380
name1073,lastname1073,October,1,1997,BS IT Entrepreneurship,0917 333 9074
name1074,lastname1074,February,26,1998,BS Management,0927 231 5102
name1075,lastname1075,August,22,2000,BS Communications Technology Management,0918 772 9445
name1076,lastname1076,June,19,1998,BS IT Entrepreneurship,0927 767 7062
name1077,lastname1077,August,1,1997,BS Communications Technology Management,0917 222 4027
name1078,lastname1078,August,18,1998,BS Management,0917 372 6091
name1079,lastname1079,October,7,1999,BS Management Engineering,0918 598 8688
name1080,lastname1080,November,17,2000,BS Management Engineering,0927 500 8664
name1081,lastname1081,December,5,1999,BS Management Engineering,0927 904 3251
name1082,lastname1082,January,28,2000,BS Management Engineering,0918 853 8895
name1083,lastname1083,December,15,1998,BS IT Entrepreneurship,0918 867 4047
name1084,lastname1084,February,27,1999,BS Management,0927 780 5516
name1085,lastname1085,June,28,2001,BS Communications Technology Management,0917 739 8316
name1086,lastname1086,April,28,1997,BS Management,0917 257 8186
name1087,lastname1087,March,28,1998,BS Management Engineering,0927 692 7290
name1088,lastname1088,September,5,1999,BS IT Entrepreneurship,0927 304 1355
name1089,lastname1089,April,25,1999,BS Communications Technology Management,0918 955 8221
name1090,lastname1090,July,27,2000,BS Communications Technology Management,0918 613 2252
name1091,lastname1091,February,24,1999,BS Management,0927 740 8593
name1092,lastname1092,February,17,2000,BS Management Engineering,0927 658 1569
name1093,lastname1093,May,23,1997,BS Management Engineering,0927 325 6671
name1094,lastname1094,June,25,2000,BS Management Engineering,0917 857 8412
name1095,lastname1095,January,26,1997,BS IT Entrepreneurship,0917 343 3386
name1096,lastname1096,July,21,2001,BS IT Entrepreneurship,0927 862 4541
name1097,lastname1097,July,2,2000,BS IT Entrepreneurship,0918 645 9539
name1098,lastname1098,January,15,1999,BS Management Engineering,0927 381 8143
name1099,lastname1099,March,22,2001,BS Management,0918 242 4918
name1100,lastname1100,November,19,1997,BS Legal Management,0918 352 6064
name1101,lastname1101,April,5,2000,BS IT Entrepreneurship,0917 225 6387
name1102,lastname1102,May,14,1999,BS Legal Management,0927 357 9725
name1103,lastname1103,June,4,2001,BS Management Engineering,0917 811 5416
name1104,lastname1104,December,12,1999,BS Communications Technology Management,0927 155 2357
name1105,lastname1105,March,23,1999,BS Management Engineering,0927 659 7601
name1106,lastname1106,October,26,1998,BS Legal Management,0917 579 9310
name1107,lastname1107,December,14,2000,BS Management,0918 899 5954
name1108,lastname1108,April,21,1997,BS IT Entrepreneurship,0918 597 2109
name1109,lastname1109,August,18,1997,BS Management,0927 331 2469
name1110,lastname1110,November,23,1997,BS Communications Technology Management,0927 857 4325
name1111,lastname1111,March,17,2001,BS Communications Technology Management,0917 745 6591
name1112,lastname1112,February,25,1998,BS Legal Management,0927 820 4602
name1113,lastname1113,June,8,1997,BS IT Entrepreneurship,0917 541 3617
name1114,lastname1114,June,16,1998,BS IT Entrepreneurship,0917 561 4702
name1115,lastname1115,February,25,1997,BS Management Engineering,0917 103 4403
name1116,lastname1116,January,4,1999,BS Management,0917 472 8417
name1117,lastname1117,April,25,2001,BS IT Entrepreneurship,0918 962 8354
name1118,lastname1118,July,23,1998,BS Management,0927 780 4566
name1119,lastname1119,July,17,2001,BS IT Entrepreneurship,0918 530 9778
name1120,lastname1120,March,10,1999,BS Management,0918 501 4512
name1121,lastname1121,December,17,1998,BS Legal Management,0918 439 4303
name1122,lastname1122,January,3,1998,BS Legal Management,0917 310 8397
name1123,lastname1123,September,2,2001,BS Legal Management,0917 686 3457
name1124,lastname1124,January,1,1998,BS Management Engineering,0927 995 2764
name1125,lastname1125,June,20,1999,BS IT Entrepreneurship,0927 325 1153
name1126,lastname1126,May,2,1998,BS Management,0927 383 7195
name1127,lastname1127,July,28,1999,BS IT Entrepreneurship,0917 859 6198
name1128,lastname1128,February,16,2001,BS Communications Technology Management,0918 633 9731
name1129,lastname1129,January,17,1998,BS IT Entrepreneurship,0917 588 9566
name1130,lastname1130,November,14,1997,BS Legal Management,0927 777 3805
name1131,lastname1131,December,6,1998,BS Legal Management,0918 822 3585
name1132,lastname1132,June,12,1997,BS Legal Management,0918 260 7816
name1133,lastname1133,May,26,1998,BS Communications Technology Management,0917 367 2891
name1134,lastname1134,June,26,1998,BS Management,0927 393 9901
name1135,lastname1135,October,23,2000,BS IT Entrepreneurship,0917 431 3651
name1136,lastname1136,August,12,1998,BS IT Entrepreneurship,0927 404 6189
name1137,lastname1137,March,2,2001,BS IT Entrepreneurship,0917 421 6329
name1138,lastname1138,January,27,1998,BS Legal Management,0918 661 3666
name1139,lastname1139,March,7,1999,BS IT Entrepreneurship,0917 268 1923
name1140,lastname1140,July,10,1997,BS Communications Technology Management,0918 825 7903
name1141,lastname1141,August,8,1997,BS Management Engineering,0927 925 8074
name1142,lastname1142,January,13,1998,BS IT Entrepreneurship,0918 887 3826
name1143,lastname1143,January,22,2001,BS Management,0917 198 1630
name1144,lastname1144,March,5,1997,BS Communications Technology Management,0918 598 8378
name1145,lastname1145,March,26,2001,BS Management Engineering,0918 531 4245
name1146,lastname1146,January,3,1999,BS Management Engineering,0927 213 3415
name1147,lastname1147,December,18,1998,BS Communications Technology Management,0927 304 9604
name1148,lastname1148,May,23,1999,BS Management,0917 374 3789
name1149,lastname1149,August,9,1997,BS Legal Management,0927 265 2172
name1150,lastname1150,February,22,1998,BS Management,0918 116 3123
name1151,lastname1151,May,13,1999,BS IT Entrepreneurship,0917 443 9793
name1152,lastname1152,September,22,1998,BS Management Engineering,0927 263 7472
name1153,lastname1153,May,2,1997,BS Management Engineering,0917 728 8061
name1154,lastname1154,April,13,1999,BS Management,0918 731 7945
name1155,lastname1155,September,10,1997,BS Communications Technology Management,0917 480 8509
name1156,lastname1156,March,17,1998,BS IT Entrepreneurship,0917 616 9950
name1157,lastname1157,April,12,2000,BS IT Entrepreneurship,0918 234 5209
name1158,lastname1158,June,14,2001,BS IT Entrepreneurship,0918 389 5381
name1159,lastname1159,December,13,1999,BS Legal Management,0917 711 1400
name1160,lastname1160,March,6,1998,BS IT Entrepreneurship,0917 131 9290
name1161,lastname1161,June,21,2001,BS Communications Technology Management,0927 843 1852
name1162,lastname1162,July,25,1997,BS IT Entrepreneurship,0927 187 3418
name1163,lastname1163,December,6,1999,BS Communications Technology Management,0917 922 3662
name1164,lastname1164,February,23,1997,BS Communications Technology Management,0927 181 1014
name1165,lastname1165,January,12,1998,BS Management,0918 306 6443
name1166,lastname1166,November,16,2001,BS Management,0917 857 5459
name1167,lastname1167,January,6,1999,BS Management Engineering,0917 480 9480
name1168,lastname1168,August,10,1998,BS IT Entrepreneurship,0918 965 1161
name1169,lastname1169,May,26,1998,BS Management Engineering,0927 371 1482
name1170,lastname1170,August,22,1999,BS IT Entrepreneurship,0917 899 7261
name1171,lastname1171,August,21,1999,BS Management Engineering,0917 880 9465
name1172,lastname1172,December,24,2001,BS IT Entrepreneurship,0927 495 8365
name1173,lastname1173,July,6,1997,BS Legal Management,0927 251 2618
name1174,lastname1174,April,28,1997,BS Management,0927 929 9497
name1175,lastname1175,March,26,1998,BS Management,0918 969 6633
name1176,lastname1176,March,10,1997,BS Management Engineering,0927 870 1377
name1177,lastname1177,October,5,1999,BS Legal Management,0917 229 7640
name1178,lastname1178,January,17,1999,BS Legal Management,0927 272 9809
name1179,lastname1179,September,6,1998,BS Management,0917 605 9226
name1180,lastname1180,December,27,1998,BS Management Engineering,0918 301 4221
name1181,lastname1181,June,11,1998,BS Legal Management,0917 107 1646
name1182,lastname1182,April,22,1997,BS Legal Management,0927 882 1975
